order;qtext;a_text;a_code;b_text;b_code;weight
1;Объяснять тему однокласснику;Помогать и общаться;H;Настраивать компьютер или принтер;T;1
2;Ухаживать за комнатными растениями;Полив и пересадка;N;Вести аккуратные записи и таблицы;S;1
3;Придумывать рассказы или посты;Творчески выражаться;A;Настраивать бытовую технику;T;1
4;Проводить экскурсии/встречи;Коммуникация с людьми;H;Кодировать данные, заполнять формы;S;1
5;Работать с микроскопом и инструментами;Технические приборы;T;Ухаживать за животными;N;1
6;Оформлять стенд красиво;Дизайн и композиция;A;Решать задачи по образцу;S;1
7;Вести тренинг/игру для группы;Работа с людьми;H;Собирать/разбирать устройство;T;1
8;Наблюдать за природными явлениями;Эксперименты с живой природой;N;Разбирать схемы и диаграммы;S;1
9;Подбирать музыку/иллюстрации;Эстетика и вкус;A;Сверять отчёты с образцом;S;1
10;Организовывать волонтёрские акции;Работа с людьми;H;Ремонтировать мелкую технику;T;1
11;Выращивать рассаду;Уход за растениями;N;Составлять каталоги/реестры;S;1
12;Придумывать оформление праздника;Сценография/декор;A;Собирать робота по инструкции;T;1
13;Проводить интервью/опросы;Коммуникация и эмпатия;H;Писать простые программы/скрипты;T;1
14;Наблюдать за животными;Биология/экология;N;Верстать таблицы и документы;S;1
15;Снимать и монтировать видео;Творчество и визуал;A;Проверять данные на ошибки;S;1
16;Наставничество для младших;Поддержка и общение;H;Пайка/сборка простых схем;T;1
17;Эксперименты с почвой/семенами;Природные процессы;N;Работа с кодами и символами;S;1
18;Разрабатывать афиши/обложки;Графический дизайн;A;Использовать измерительные приборы;T;1
19;Быть медиатором в споре;Социальные навыки;H;Настройка сетей/приложений;T;1
20;Наблюдать сезонные изменения;Полевые заметки;N;Анализировать диаграммы/карты;S;1
